Category,Question,Answer
,36. What are Promises?,"Promises are objects that represent the eventual completion or failure of an asynchronous operation. They can be in one of three states: pending, fulfilled, or rejected."
,37. What are the three states of a Promise?,"The three states of a Promise are: pending (the initial state), fulfilled (the operation completed successfully), and rejected (the operation failed)."
,38. How do you create a Promise?,"You can create a Promise using the Promise constructor, which takes a function as an argument. This function, in turn, takes two arguments: a resolve function and a reject function."
,"39. What is the purpose of .then(), .catch(), and .finally()?",.then() is used to schedule a callback to be executed when the Promise is fulfilled. .catch() is used to schedule a callback to be executed when the Promise is rejected. .finally() is used to schedule a callback to be executed when the Promise is settled (either fulfilled or rejected).
,40. What is async/await?,"async/await is a syntactic sugar on top of Promises that allows you to write asynchronous code in a more synchronous-looking way. The async keyword is used to declare a function as asynchronous, and the await keyword is used to pause the execution of the function until a Promise is settled."
,41. What are the benefits of using async/await over Promises?,"The main benefits of using async/await over Promises are improved readability and error handling. async/await makes the code look more linear and easier to follow, and it allows you to use try...catch blocks to handle errors in a more familiar way."
,42. How do you handle errors in async/await?,You can handle errors in async/await using try...catch blocks. You wrap the await expression in a try block and catch any errors in a catch block.
,43. Can you use await outside of an async function?,"In most JavaScript environments, you cannot use await outside of an async function. However, top-level await is now a feature in modern versions of Node.js and browsers, allowing you to use await at the top level of a module."
,44. What is the EventEmitter class?,The EventEmitter class is a built-in class in Node.js that allows you to create and listen for custom events. It is the foundation of Node.js's event-driven architecture.
,45. How do you create and listen to custom events?,You can create a custom event emitter by extending the EventEmitter class. You can then use the emit() method to fire an event and the on() method to listen for an event.
,46. Explain the different phases of the event loop.,"The event loop has several phases, including timers, pending callbacks, idle/prepare, poll, check, and close callbacks. Each phase has its own queue of callbacks to execute."
,"47. What is the difference between setImmediate(), setTimeout(), and process.nextTick()?","setTimeout() schedules a callback to be executed after a specified delay. setImmediate() schedules a callback to be executed in the check phase of the event loop. process.nextTick() schedules a callback to be executed at the beginning of the next event loop tick, before any other I/O events."
,48. When would you use process.nextTick()?,You would use process.nextTick() when you want to execute a function immediately after the current function completes but before the event loop continues. This can be useful for breaking up long-running tasks and preventing the event loop from being blocked.
,49. What are microtasks and macrotasks?,"Microtasks are tasks that are executed at the end of the current event loop tick, such as process.nextTick() callbacks and Promise resolutions. Macrotasks are tasks that are executed in a separate event loop tick, such as setTimeout() callbacks and I/O events."
,50. How does the event loop handle microtasks and macrotasks?,The event loop processes microtasks before it processes macrotasks. This means that all the microtasks in the microtask queue will be executed before any of the macrotasks in the macrotask queue.
,51. Explain how to use the async library for flow control.,"The async library provides a number of functions for managing asynchronous control flow, such as async.series(), async.parallel(), and async.waterfall(). These functions can help you to avoid callback hell and write more readable asynchronous code."
,52. What are some common patterns for managing asynchronous operations?,"Some common patterns for managing asynchronous operations include callbacks, Promises, async/await, and the async library. The best pattern to use depends on the specific needs of your application."
,53. How do you convert a callback-based function to a Promise-based function?,You can convert a callback-based function to a Promise-based function using the util.promisify() function in Node.js. This function takes a callback-based function as an argument and returns a new function that returns a Promise.
,54. What is the purpose of Promise.all()?,Promise.all() takes an array of Promises as input and returns a single Promise that fulfills when all of the input Promises have fulfilled. It is useful for when you want to perform multiple asynchronous operations in parallel and wait for all of them to complete.
,55. What is the difference between Promise.all() and Promise.race()?,"Promise.all() fulfills when all of the input Promises have fulfilled, while Promise.race() fulfills or rejects as soon as one of the input Promises fulfills or rejects."
,56. What is Promise.allSettled()?,"Promise.allSettled() takes an array of Promises as input and returns a single Promise that fulfills when all of the input Promises have settled (either fulfilled or rejected). It is useful for when you want to know the outcome of each Promise, regardless of whether it was fulfilled or rejected."
,57. What are Promise.any() and Promise.resolve()/Promise.reject()?,Promise.any() takes an array of Promises as input and returns a single Promise that fulfills as soon as one of the input Promises fulfills. Promise.resolve() returns a Promise that is resolved with a given value. Promise.reject() returns a Promise that is rejected with a given reason.
,58. How do you handle unhandled promise rejections?,You can handle unhandled promise rejections by adding a .catch() block to the end of your Promise chain or by listening for the unhandledRejection event on the process object.
,59. What are async iterators and for-await-of loops?,"Async iterators are a special type of iterator that can be used to iterate over asynchronous data sources, such as streams. The for-await-of loop is a new type of loop that can be used to iterate over async iterators in a synchronous-looking way."
III. Modules and Packages,60. What is CommonJS?,CommonJS is a module formatting system and standard used in Node.js to structure and organize JavaScript code. It defines a module scope where variables are private by default and uses require to import modules and module.exports to export them.
,61. How does require() resolve modules?,"require() resolves modules in the following order: 1. Core Modules: If the module name is a core Node.js module (e.g., http, fs), it returns that module. 2. File Modules: If the name starts with ./, ../, or /, it's treated as a file path. Node.js looks for the file (.js, .json, .node). 3. npm Modules: If it's a bare name (e.g., express), Node.js looks for it in the node_modules directory, starting from the current directory and moving up to the root."
,62. What is the module cache?,"Node.js caches modules after the first time they are loaded. When require('module') is called, the resolved module is stored in require.cache. Subsequent calls to require('module') will return the cached version, which improves performance and ensures that the same instance of a module is returned every time."
,63. How can you create private members in a module?,"In CommonJS, variables and functions declared within a module file are private by default. They are not accessible from outside the module unless they are explicitly attached to the module.exports or exports object."
,64. What is the purpose of the main field in package.json?,"The main field in package.json specifies the entry point to your application. When your package is required by another module (e.g., require('my-package')), the file specified in the main field is the one that gets exported. If not set, it defaults to index.js."
,65. What is npm install --save vs npm install --save-dev?,"npm install --save (or npm i <package>) installs a package and adds it to the dependencies in package.json. These are needed for the application to run in production. npm install --save-dev (or npm i -D <package>) installs a package and adds it to the devDependencies. These are only needed for development, like linters or testing libraries."
,66. What does npm init do?,"npm init creates a package.json file for your project. It runs a command-line utility that prompts you for information about the project (name, version, description, etc.) and generates the file based on your answers. Using npm init -y will skip the questions and generate a default package.json."
,67. What is the package-lock.json file?,"The package-lock.json file is automatically generated for any operations where npm modifies either the node_modules tree or package.json. It records the exact version of every installed dependency, including sub-dependencies, ensuring that the same dependency tree is installed every time."
,68. Why is package-lock.json important?,"It guarantees deterministic installs across different machines and environments. By locking down the specific versions of all packages, it prevents unexpected breakages caused by dependency updates and ensures that developers and CI/CD systems are all working with the identical set of dependencies."
,69. What is semantic versioning (SemVer)?,Semantic Versioning (SemVer) is a versioning scheme that uses a three-part version number: MAJOR.MINOR.PATCH. MAJOR version changes indicate incompatible API changes. MINOR version changes add functionality in a backward-compatible manner. PATCH version changes are for backward-compatible bug fixes.
,70. Explain the meaning of ~ and ^ in package.json.,"The tilde (~) allows patch-level changes. ~1.2.3 will match versions from 1.2.3 up to, but not including, 1.3.0. The caret (^) allows minor-level changes. ^1.2.3 will match versions from 1.2.3 up to, but not including, 2.0.0. The caret is the default when installing packages."
,71. What is npm ci and how is it different from npm install?,"npm ci (clean install) is used for automated environments like CI/CD pipelines. It installs dependencies directly from package-lock.json instead of package.json. It is faster, stricter, and more reliable for creating reproducible builds. Unlike npm install, it deletes the existing node_modules directory first and will fail if the package-lock.json is out of sync with package.json."
,72. Explain the difference between CommonJS and ES Modules (import/export).,"CommonJS (require/module.exports): Synchronous (loads modules one by one), dynamic (can be called anywhere), and the default in Node.js for .js files. ES Modules (import/export): Asynchronous, static (imports are hoisted and must be at the top level), and the standard for modern JavaScript."
,73. How do you use ES Modules in Node.js?,"You can use ES Modules in Node.js by either: 1. Setting ""type"": ""module"" in your package.json file, which makes all .js files in the project be treated as ES Modules. 2. Using the .mjs file extension for your module files."
,"74. What is the ""type"": ""module"" field in package.json?","The ""type"": ""module"" field in package.json tells Node.js to treat all .js files in the project as ES Modules. This enables the use of import and export syntax by default. If this is set, CommonJS files should be named with a .cjs extension."
,75. Can you use require() in an ES module?,"No, you cannot directly use the require() function in a standard ES module. You must use the import syntax. However, you can use createRequire from the module core module to create a require function if you need to load a CommonJS module."
,76. Can you use import in a CommonJS module?,"You cannot use the static import statement in a CommonJS module. However, you can use the dynamic import() function, which returns a promise, to asynchronously load an ES module."
,77. What are circular dependencies and how can you deal with them?,"A circular dependency occurs when module A requires module B, and module B in turn requires module A. Node.js handles this by returning an unfinished copy of the module during the circular require call. To deal with them, you should refactor your code to break the cycle, often by moving shared functionality to a third module."
,78. What is npm link used for?,"npm link allows you to develop and test a local package without having to publish it to the npm registry. It creates a symbolic link from your global node_modules directory to your local package directory, and then you can link that package into another project to use it as if it were a regular dependency."
,"79. What are npx, npm scripts, and their use cases?","npx: A package runner tool that comes with npm. It allows you to execute command-line packages from the npm registry without installing them globally or locally. npm scripts: Defined in the scripts section of package.json, they are used to automate repetitive tasks like testing (npm test), starting a server (npm start), or building the project (npm run build)."
,80. How do you publish a package to the npm registry?,"First, you need an npm account and to be logged in via npm login. Then, ensure your package.json is correctly configured. Finally, run npm publish from your package's root directory. The package name must be unique on the npm registry."
,81. What are scoped packages?,"Scoped packages are a way to group related npm packages under a namespace or ""scope,"" which is usually your npm username or organization name (e.g., @myscope/mypackage). They help prevent naming conflicts and can be used to create private packages."
,82. What is the purpose of a .npmrc file?,"The .npmrc file is used to configure npm settings. It can be used to set up private registries, authentication tokens, proxy settings, or other configuration options for a project or globally for a user."
IV. Error Handling,83. How do you handle synchronous errors in Node.js?,Synchronous errors are handled using the standard try...catch block. You place the code that might throw an error inside the try block and the error-handling logic inside the catch block.
,84. How do you handle asynchronous errors with callbacks?,"The convention for callbacks is to use ""error-first callbacks,"" where the first argument to the callback function is reserved for an error object. If an error occurs, it's passed as the first argument; otherwise, the first argument is null."
,85. How do you handle errors with Promises?,Errors in Promises are handled using the .catch() method at the end of a promise chain. Any error thrown (or promise rejected) in the chain will be caught by the .catch() block.
,86. How do you handle errors with async/await?,"With async/await, you can use the traditional try...catch block, just like with synchronous code. You wrap the await call (which might reject) in a try block and handle the potential error in the corresponding catch block."
,87. What happens if an error is not caught in a Promise chain?,"If a Promise is rejected and it doesn't have a .catch() handler, it becomes an ""unhandled promise rejection."" In modern versions of Node.js, this will cause the application to terminate. In older versions, it would just log a warning."
,88. What is an uncaughtException event?,"The process.on('uncaughtException', ...) event is emitted when a synchronous error is thrown but not caught anywhere in a try...catch block. It is a last-resort mechanism for handling unexpected errors."
,89. Why is it generally not recommended to use process.on('uncaughtException') to keep the application running?,Using uncaughtException to resume normal operation is unsafe because the application's state becomes unreliable and unpredictable. It should only be used for synchronous cleanup of resources (like logging the error) before gracefully shutting down the process.
,90. What is an unhandledRejection event?,"The process.on('unhandledRejection', ...) event is emitted whenever a Promise is rejected and no error handler is attached to it. It's the asynchronous equivalent of uncaughtException."
,91. Differentiate between operational errors and programmer errors.,"Operational Errors: These are runtime problems that are expected (e.g., failed to connect to a database, invalid user input, network request timeout). They should be handled gracefully. Programmer Errors: These are bugs in the code (e.g., reading a property of undefined, syntax error). They are unexpected and often require the application to be restarted."
,92. What are some best practices for error handling in Node.js applications?,"Use try...catch for sync code and .catch() or try...catch with async/await for async code. Use error-first callbacks. Centralize error handling (e.g., in Express middleware). Create custom error classes. Log errors effectively. Gracefully shut down on programmer errors."
,93. How can you create custom error classes?,You can create custom error classes by extending the built-in Error class. This allows you to add custom properties (like status codes or error types) and use instanceof to check for specific types of errors.
,94. Explain the concept of error-first callbacks.,"An error-first callback is a pattern where the callback function's first argument is reserved for an error object. If no error occurred, this argument is null or undefined. Subsequent arguments contain the successful result data. This standardizes error handling in asynchronous callback-based code."
,95. How can you centralize error handling in an Express.js application?,"In Express, you can create a special error-handling middleware function that takes four arguments: (err, req, res, next). This middleware is placed at the end of the middleware stack and will catch any errors passed to next(err) or thrown in route handlers."
,96. What is the purpose of a domain for error handling (and why is it deprecated)?,"The domain module was created to try and contain errors within a specific context or ""domain."" It was intended to handle errors in a way that wouldn't crash the entire application. However, it was found to be unreliable and complex, and it has been deprecated in favor of more predictable error handling patterns."
,97. How can you gracefully shut down a Node.js application on an unrecoverable error?,"On an unrecoverable error (like an uncaught exception), you should perform necessary cleanup (log the error, close database connections, etc.) and then exit the process using process.exit(1). Using a process manager like PM2 can then automatically restart the application."
,98. What are some common sources of errors in a Node.js application?,"Common sources include invalid user input, network errors (e.g., API failures, DNS issues), database errors (connection failures, query errors), file system errors (file not found, permission denied), and programmer errors (bugs in the code)."
,99. How can you use logging to aid in error diagnostics?,"Logging is crucial for diagnostics. You should log detailed error information, including the error message, stack trace, timestamp, and relevant context (like request IDs or user info). Using structured logging (e.g., JSON format) and different log levels (error, warn, info) makes logs easier to parse and analyze."
,100. Explain how to use try...catch with JSON.parse().,"JSON.parse() is synchronous and will throw a SyntaxError if the string it's trying to parse is not valid JSON. To handle this, you must wrap the JSON.parse() call in a try...catch block."
V. Streams and Buffers,101. What are streams in Node.js?,"Streams are objects in Node.js that let you read data from a source or write data to a destination in a continuous fashion. Instead of reading an entire file into memory at once, streams allow you to process data in small, manageable chunks."
,102. What are the benefits of using streams?,"The main benefits are: Memory efficiency, as you don't need to load large amounts of data into memory, and Time efficiency, as you can start processing data as soon as the first chunk arrives, rather than waiting for the entire payload to be available."
,103. Name the four types of streams in Node.js.,"1. Readable: Streams from which data can be read (e.g., fs.createReadStream). 2. Writable: Streams to which data can be written (e.g., fs.createWriteStream). 3. Duplex: Streams that are both Readable and Writable (e.g., a TCP socket). 4. Transform: Duplex streams that can modify or transform the data as it is written and read (e.g., a zlib compression stream)."
,104. What is a Readable stream? Give an example.,A Readable stream is an abstraction for a source from which data is consumed. An example is reading a file from the file system: fs.createReadStream('file.txt').
,105. What is a Writable stream? Give an example.,A Writable stream is an abstraction for a destination to which data is written. An example is writing data to a file: fs.createWriteStream('file.txt').
,106. What is a Duplex stream?,"A Duplex stream is a stream that implements both the Readable and Writable interfaces. Examples include a TCP socket, a zlib stream, or a crypto stream."
,107. What is a Transform stream?,"A Transform stream is a type of Duplex stream where the output is computed in some way from the input. It reads input, ""transforms"" it, and then produces output. Examples include zlib for compression/decompression or a custom stream to convert text to uppercase."
,108. What is piping in Node.js?,"Piping is a mechanism for connecting the output of a Readable stream to the input of a Writable stream. It's done using the .pipe() method. Piping automatically handles the flow of data, including backpressure, making it a very efficient way to process data. Example: readableStream.pipe(writableStream)."
,109. How do you create a Readable stream?,"You can create a custom Readable stream by extending the stream.Readable class and implementing the _read() method. Inside _read(), you use this.push() to push data into the stream's internal buffer."
,110. How do you create a Writable stream?,You can create a custom Writable stream by extending the stream.Writable class and implementing the _write() method. This method receives the chunk of data to be written.
,111. What is a Buffer?,A Buffer is a Node.js class that is used to handle raw binary data. It corresponds to a raw memory allocation outside the V8 heap. Buffers are used because JavaScript traditionally hasn't handled binary data well.
,112. Why are Buffers necessary in Node.js?,"Buffers are necessary to interact with octet streams in TCP streams, file system operations, and other contexts. They allow Node.js to work with binary data directly and efficiently."
,113. How do you create a Buffer?,"Buffers can be created in several ways, but the most common modern methods are Buffer.from(string[, encoding]) to create a buffer from a string, and Buffer.alloc(size) to create a new, zero-filled buffer of a specified size."
,114. How do you convert a Buffer to a string?,"You can convert a Buffer to a string by calling the .toString([encoding]) method on the buffer instance. For example, buf.toString('utf8')."
,115. How do you convert a string to a Buffer?,"You can convert a string to a Buffer using the Buffer.from(string, [encoding]) method. For example, Buffer.from('hello', 'utf8')."
,116. Explain the difference between a stream's flowing and paused modes.,A Readable stream can be in one of two modes: Flowing: Data is read from the underlying system automatically and provided to your application as fast as possible. This happens when you attach a data event handler or use .pipe(). Paused: You must explicitly call stream.read() to get chunks of data out of the stream. All streams start in paused mode.
,117. What is backpressure in streams and how is it handled?,"Backpressure is a mechanism that handles data flow when the Writable stream is slower than the Readable stream. The .pipe() method handles this automatically. When a Writable stream's internal buffer is full, its .write() method will return false. This signals the Readable stream to stop sending data until the Writable stream emits a drain event, indicating it's ready for more."
,118. What is the stream.pipeline() method and why is it useful?,"stream.pipeline() is a method for piping between streams that provides better error handling. It forwards errors and properly cleans up all the streams when any one of them is closed or errors. It's a safer alternative to .pipe(), which can lead to memory leaks if not handled carefully on error."
,119. Explain the finish and end events in streams.,The finish event is emitted by a Writable stream when stream.end() has been called and all data has been flushed to the underlying system. The end event is emitted by a Readable stream when there is no more data to be consumed from the stream.
,120. How do you handle errors in streams?,"Errors in streams are handled by listening for the error event. It is crucial to always have an error event listener on a stream, as an unhandled error event will cause the Node.js process to crash. When using stream.pipeline(), you can provide a callback function that will be called with an error if one occurs."
,121. What is the object mode in streams?,"By default, streams operate on strings and Buffers. By setting the objectMode: true option, you can make a stream accept any JavaScript object. This is useful when you want to pass structured data through a stream pipeline."
,122. How would you implement a custom Transform stream?,"You implement a custom Transform stream by extending the stream.Transform class and implementing the _transform() method. This method receives the data chunk, its encoding, and a callback. You can perform operations on the chunk and then use this.push() to pass the modified data to the next stream in the chain."
,123. What are some real-world use cases for streams?,"Reading/writing large files, processing large HTTP request/response bodies, data compression/decompression (e.g., gzipping files), real-time data processing (e.g., from WebSockets), and ETL (Extract, Transform, Load) pipelines."
,124. How do streams relate to the event loop?,"Streams are built on top of Node.js's event-driven architecture. I/O operations for streams are non-blocking. When a chunk of data is available (data event) or a stream is ready for more data (drain event), these events are placed on the event loop to be processed."
,125. Explain the drain event in a Writable stream.,The drain event is emitted by a Writable stream when it is ready to accept more data. This happens after its internal buffer has been emptied following a write() call that returned false. It is a signal for the data producer to resume writing.
,126. How can you combine multiple streams into one?,"You can use stream.pipeline() to chain multiple streams together in a safe way. For more complex scenarios, you can use libraries like through2 or manually pipe streams together (stream1.pipe(stream2).pipe(stream3)), ensuring you handle errors correctly on each stream."
,"127. What is the difference between Buffer.from(), Buffer.alloc(), and Buffer.allocUnsafe()?","Buffer.from(data): Creates a buffer from existing data (like a string, array, or another buffer). Buffer.alloc(size): Creates a new, ""safe"" buffer of a specified size. The memory is pre-filled with zeros, which prevents old, sensitive data from being leaked. Buffer.allocUnsafe(size): Creates a new, uninitialized buffer. It is faster than Buffer.alloc() but may contain old data from memory. It must be filled with new data immediately to be used safely."
VI. Child Processes,128. What are child processes in Node.js?,"Child processes are new processes that can be spawned from a main Node.js application. This allows you to execute external commands or run other scripts, leveraging multiple CPU cores and avoiding blocking the main event loop with CPU-intensive tasks."
,129. Why would you use child processes?,"To run CPU-intensive tasks without blocking the main event loop, to execute external system commands or utilities (like git or ls), and to take advantage of multi-core systems for better performance."
,130. What is the child_process module?,The child_process module is a core Node.js module that provides the functionality to create and manage child processes.
,131. What are the four different ways to create a child process in Node.js?,"The four methods are: spawn(), exec(), execFile(), and fork()."
,"132. Explain the difference between spawn(), fork(), exec(), and execFile().","spawn(): Spawns a new process and streams I/O. Best for long-running processes or when the command produces a large amount of data. exec(): Spawns a shell and runs a command in that shell. It buffers the output and passes it to a callback when the process is done. Good for quick commands. execFile(): Similar to exec() but runs an executable file directly without spawning a shell, which is slightly more efficient and secure. fork(): A special version of spawn() for creating a new Node.js process. It creates a communication channel (IPC) between the parent and child, allowing them to send messages."
,133. When would you use spawn() vs. exec()?,"Use spawn() when you need to handle streaming data from the child process, for example, when processing a large file or a continuous data stream. Use exec() for short, simple commands where you just need the final buffered output."
,134. What is the difference between fork() and spawn()?,"fork() is a specialized version of spawn() specifically for creating new Node.js processes. The key difference is that fork() automatically sets up an IPC (Inter-Process Communication) channel, allowing messages to be passed between the parent and child processes using .send() and .on('message')."
,135. How can parent and child processes communicate with each other?,"When using fork(), the parent and child can communicate using the built-in IPC channel. The parent can call child.send(message) and the child can call process.send(message). Both can listen for messages using the message event: child.on('message', ...) and process.on('message', ...)."
,136. What is the ipc channel?,The IPC (Inter-Process Communication) channel is a communication pipeline established between a parent process and a child process created using child_process.fork(). It allows for the exchange of JSON messages between the two processes.
,137. How can you pass data from a parent to a forked child process?,"You can pass data from the parent to the forked child by calling the send() method on the child process object: child.send({ hello: 'world' }). The child process can then listen for this data using process.on('message', (msg) => { ... });."
,138. How do you handle errors in child processes?,"You can listen for the error event on the child process object, which is emitted if the process could not be spawned or killed. You can also listen for non-zero exit codes via the exit or close events, and monitor stderr for any error output from the command itself."
,139. What is a detached child process?,A detached child process is a process that can continue running independently even after its parent process exits. You can create one by setting the detached: true option in spawn() or fork().
VII. Clustering and Scaling,140. What is the cluster module?,"The cluster module is a core Node.js module that allows you to create a cluster of Node.js processes. This enables a single Node.js application to take advantage of multi-core systems by running multiple instances of the application, known as workers."
,141. How does the cluster module work?,The cluster module works by creating a master process that forks several worker processes. The master process does not handle application logic itself but manages the workers. It listens on a port and distributes incoming connections to the worker processes.
,142. What are the benefits of using the cluster module?,"The primary benefit is improved performance and reliability on multi-core systems. It allows a Node.js application to handle more concurrent requests by distributing the load across multiple CPU cores. It also improves fault tolerance, as the master process can restart a worker if it crashes."
,143. How do you create a cluster in Node.js?,"You create a cluster by checking if the current process is the master (cluster.isMaster or cluster.isPrimary in newer versions). If it is, you fork worker processes using cluster.fork(). If it's a worker process, you run the application logic (e.g., start the HTTP server)."
,144. What is the difference between the master process and worker processes?,"The master process is responsible for creating, managing, and monitoring the worker processes. It binds to a network port and distributes incoming connections. The worker processes are the ones that actually run the application code, handle client requests, and do the work."
,145. How does the master process distribute incoming connections to worker processes?,"By default, the master process listens on a port and distributes incoming connections to the worker processes using a round-robin algorithm. This helps to balance the load across all available workers."
,146. How can you achieve zero-downtime restarts with the cluster module?,"You can achieve zero-downtime restarts by restarting workers one by one. When you need to update the application, you instruct the master to kill an old worker and then fork a new one with the updated code. This process is repeated for each worker, ensuring there are always active workers available to handle requests."
,147. What are some strategies for scaling a Node.js application?,"Strategies include: 1. Clustering: Using the cluster module to scale across multiple CPU cores on a single machine. 2. Horizontal Scaling: Adding more machines (servers) and distributing traffic between them using a load balancer. 3. Microservices: Breaking down the application into smaller, independent services that can be scaled individually. 4. Caching: Using caching layers (like Redis) to reduce the load on the application and database."
,148. Explain horizontal vs. vertical scaling.,"Vertical Scaling (scaling up) means adding more resources (CPU, RAM) to a single server to make it more powerful. Horizontal Scaling (scaling out) means adding more servers to your pool of resources and distributing the load among them. Node.js applications, due to their stateless nature, are well-suited for horizontal scaling."
,149. What is a reverse proxy and how is it used with Node.js?,"A reverse proxy is a server that sits in front of one or more web servers (like a Node.js application) and forwards client requests to them. It's commonly used with Node.js to handle tasks like load balancing across multiple Node.js instances, SSL termination, caching static content, and providing a single point of entry for security. Nginx and HAProxy are popular examples."
,150. How can you use a process manager like PM2 to scale a Node.js application?,"A process manager like PM2 simplifies scaling. You can start an application in ""cluster mode"" using a single command (e.g., pm2 start app.js -i max), and PM2 will automatically use the cluster module to spawn a worker for each available CPU core. It also provides features like monitoring, automatic restarts, and zero-downtime reloads."
VIII. Express.js,151. What is Express.js?,"Express.js is a minimal and flexible Node.js web application framework that provides a robust set of features for building web and mobile applications. It simplifies the process of creating servers, handling requests, and defining routes."
